"gdenr","gdename","canton","renovrate_gde","anz_egids_gde","lastupdated"
4064,"Büttikon","AG","0.001362",282,"2020-08-13 03:34:37.981599"
1098,"Ruswil","LU","0.004305",1527,"2020-08-13 03:34:37.981599"
215,"Dättlikon","ZH","0.001428",430,"2020-08-13 03:34:37.981599"
225,"Rickenbach (ZH)","ZH","0.003637",1245,"2020-08-13 03:34:37.981599"
5108,"Gordola","TI","0.003922",1933,"2020-08-13 03:34:37.981599"
6627,"Laconnex","GE","0.006394",203,"2020-08-13 03:34:37.981599"
3233,"Berneck","SG","0.003552",1140,"2020-08-13 03:34:37.981599"
2274,"Muntelier","FR","0.007843",292,"2020-08-13 03:34:37.981599"
6261,"Arbaz","VS","0.002163",804,"2020-08-13 03:34:37.981599"
6702,"Boécourt","JU","0.003457",418,"2020-08-13 03:34:37.981599"
3036,"Wald (AR)","AR","0.007940",432,"2020-08-13 03:34:37.981599"
312,"Seedorf (BE)","BE","0.004505",921,"2020-08-13 03:34:37.981599"
704,"Roches (BE)","BE","0.000673",89,"2020-08-13 03:34:37.981599"
5741,"L'Abergement","VD","0.013199",102,"2020-08-13 03:34:37.981599"
3311,"Amden","SG","0.002652",972,"2020-08-13 03:34:37.981599"
4183,"Zeihen","AG","0.002623",372,"2020-08-13 03:34:37.981599"
2864,"Thürnen","BL","0.006171",512,"2020-08-13 03:34:37.981599"
5269,"Breggia","TI","0.005621",1296,"2020-08-13 03:34:37.981599"
6263,"Grimisuat","VS","0.002800",1055,"2020-08-13 03:34:37.981599"
2140,"Marsens","FR","0.007653",571,"2020-08-13 03:34:37.981599"
5199,"Mezzovico-Vira","TI","0.005394",813,"2020-08-13 03:34:37.981599"
43,"Volken","ZH","0.004813",213,"2020-08-13 03:34:37.981599"
5609,"Rivaz","VD","0.015190",104,"2020-08-13 03:34:37.981599"
1121,"Alberswil","LU","0.002355",185,"2020-08-13 03:34:37.981599"
3823,"Soazza","GR","0.003027",194,"2020-08-13 03:34:37.981599"
4205,"Othmarsingen","AG","0.002444",725,"2020-08-13 03:34:37.981599"
2619,"Kleinlützel","SO","0.001219",486,"2020-08-13 03:34:37.981599"
5748,"Bretonnières","VD","0.005610",103,"2020-08-13 03:34:37.981599"
26,"Dorf","ZH","0.004258",387,"2020-08-13 03:34:37.981599"
5754,"Juriens","VD","0.012347",110,"2020-08-13 03:34:37.981599"
2791,"Röschenz","BL","0.005931",900,"2020-08-13 03:34:37.981599"
3544,"Bergün Filisur","GR","0.003038",594,"2020-08-13 03:34:37.981599"
5613,"Bourg-en-Lavaux","VD","0.012297",1671,"2020-08-13 03:34:37.981599"
2939,"Schaffhausen","SH","0.001909",10320,"2020-08-13 03:34:37.981599"
4231,"Dietwil","AG","0.001697",618,"2020-08-13 03:34:37.981599"
4257,"Olsberg","AG","0.004991",148,"2020-08-13 03:34:37.981599"
1368,"Oberiberg","SZ","0.001804",491,"2020-08-13 03:34:37.981599"
5881,"Blonay","VD","0.007728",1907,"2020-08-13 03:34:37.981599"
586,"Lütschental","BE","0.005592",131,"2020-08-13 03:34:37.981599"
567,"Reichenbach im Kandertal","BE","0.005912",1761,"2020-08-13 03:34:37.981599"
5859,"Mont-sur-Rolle","VD","0.006204",632,"2020-08-13 03:34:37.981599"
948,"Forst-Längenbühl","BE","0.007116",222,"2020-08-13 03:34:37.981599"
30,"Andelfingen","ZH","0.002722",1017,"2020-08-13 03:34:37.981599"
3921,"Arosa","GR","0.006205",2116,"2020-08-13 03:34:37.981599"
2296,"Heitenried","FR","0.003947",394,"2020-08-13 03:34:37.981599"
5409,"Ollon","VD","0.008164",3550,"2020-08-13 03:34:37.981599"
6423,"La Sagne","NE","0.006711",349,"2020-08-13 03:34:37.981599"
3038,"Wolfhalden","AR","0.003360",761,"2020-08-13 03:34:37.981599"
5585,"Jouxtens-Mézery","VD","0.008814",471,"2020-08-13 03:34:37.981599"
5115,"Losone","TI","0.007847",2062,"2020-08-13 03:34:37.981599"
5486,"L'Isle","VD","0.013366",371,"2020-08-13 03:34:37.981599"
563,"Frutigen","BE","0.007571",4600,"2020-08-13 03:34:37.981599"
6021,"Ardon","VS","0.002990",820,"2020-08-13 03:34:37.981599"
2859,"Rümlingen","BL","0.009522",218,"2020-08-13 03:34:37.981599"
2089,"Montet (Glâne)","FR","0.006517",142,"2020-08-13 03:34:37.981599"
4075,"Rudolfstetten-Friedlisberg","AG","0.002022",884,"2020-08-13 03:34:37.981599"
6715,"Mervelier","JU","0.002492",208,"2020-08-13 03:34:37.981599"
4,"Hausen am Albis","ZH","0.002088",1732,"2020-08-13 03:34:37.981599"
5516,"Cugy (VD)","VD","0.011183",592,"2020-08-13 03:34:37.981599"
666,"Kriechenwil","BE","0.003198",146,"2020-08-13 03:34:37.981599"
956,"Rüegsau","BE","0.005299",820,"2020-08-13 03:34:37.981599"
2842,"Böckten","BL","0.006405",377,"2020-08-13 03:34:37.981599"
615,"Mirchel","BE","0.005346",187,"2020-08-13 03:34:37.981599"
2086,"Massonnens","FR","0.003959",151,"2020-08-13 03:34:37.981599"
4006,"Gränichen","AG","0.017279",2201,"2020-08-13 03:34:37.981599"
4077,"Tägerig","AG","0.001645",414,"2020-08-13 03:34:37.981599"
4138,"Leutwil","AG","0.001736",258,"2020-08-13 03:34:37.981599"
177,"Pfäffikon","ZH","0.008446",3521,"2020-08-13 03:34:37.981599"
3275,"Sevelen","SG","0.004466",1478,"2020-08-13 03:34:37.981599"
2774,"Schönenbuch","BL","0.005788",709,"2020-08-13 03:34:37.981599"
499,"Siselen","BE","0.002249",224,"2020-08-13 03:34:37.981599"
5003,"Cadenazzo","TI","0.005025",943,"2020-08-13 03:34:37.981599"
3374,"Lichtensteig","SG","0.003681",481,"2020-08-13 03:34:37.981599"
6217,"Saint-Maurice","VS","0.001762",1119,"2020-08-13 03:34:37.981599"
5555,"Corcelles-près-Concise","VD","0.011377",159,"2020-08-13 03:34:37.981599"
4273,"Bottenwil","AG","0.003226",265,"2020-08-13 03:34:37.981599"
4313,"Leuggern","AG","0.002510",713,"2020-08-13 03:34:37.981599"
311,"Schüpfen","BE","0.009539",1003,"2020-08-13 03:34:37.981599"
5928,"Rovray","VD","0.012772",86,"2020-08-13 03:34:37.981599"
980,"Inkwil","BE","0.003536",255,"2020-08-13 03:34:37.981599"
339,"Rohrbachgraben","BE","0.004816",127,"2020-08-13 03:34:37.981599"
3032,"Heiden","AR","0.033359",1309,"2020-08-13 03:34:37.981599"
301,"Aarberg","BE","0.007296",907,"2020-08-13 03:34:37.981599"
6201,"Unterbäch","VS","0.001763",337,"2020-08-13 03:34:37.981599"
3785,"La Punt-Chamues-ch","GR","0.002388",364,"2020-08-13 03:34:37.981599"
33,"Kleinandelfingen","ZH","0.008882",1117,"2020-08-13 03:34:37.981599"
2790,"Roggenburg","BL","0.003673",261,"2020-08-13 03:34:37.981599"
4821,"Hüttwilen","TG","0.005517",1135,"2020-08-13 03:34:37.981599"
6641,"Troinex","GE","0.004279",724,"2020-08-13 03:34:37.981599"
6054,"Binn","VS","0.003392",183,"2020-08-13 03:34:37.981599"
2254,"Courtepin","FR","0.005233",1397,"2020-08-13 03:34:37.981599"
6154,"Port-Valais","VS","0.001111",1250,"2020-08-13 03:34:37.981599"
6617,"Cologny","GE","0.004982",1177,"2020-08-13 03:34:37.981599"
5141,"Agno","TI","0.003627",1120,"2020-08-13 03:34:37.981599"
31,"Henggart","ZH","0.002660",771,"2020-08-13 03:34:37.981599"
588,"Niederried bei Interlaken","BE","0.003789",211,"2020-08-13 03:34:37.981599"
3352,"Ebnat-Kappel","SG","0.002409",1852,"2020-08-13 03:34:37.981599"
2964,"Stein am Rhein","SH","0.001429",1590,"2020-08-13 03:34:37.981599"
3662,"Flerden","GR","0.002966",217,"2020-08-13 03:34:37.981599"
957,"Sumiswald","BE","0.012543",1736,"2020-08-13 03:34:37.981599"
3274,"Sennwald","SG","0.006269",1853,"2020-08-13 03:34:37.981599"
2553,"Oberdorf (SO)","SO","0.004132",560,"2020-08-13 03:34:37.981599"
407,"Heimiswil","BE","0.004512",534,"2020-08-13 03:34:37.981599"
3231,"Au (SG)","SG","0.003913",1631,"2020-08-13 03:34:37.981599"
2035,"Nuvilly","FR","0.008062",139,"2020-08-13 03:34:37.981599"
4194,"Dintikon","AG","0.001431",558,"2020-08-13 03:34:37.981599"
2128,"Châtel-sur-Montsalvens","FR","0.012003",134,"2020-08-13 03:34:37.981599"
755,"Worben","BE","0.004682",585,"2020-08-13 03:34:37.981599"
2333,"Remaufens","FR","0.008731",293,"2020-08-13 03:34:37.981599"
6218,"Salvan","VS","0.002109",1221,"2020-08-13 03:34:37.981599"
5566,"Provence","VD","0.012465",186,"2020-08-13 03:34:37.981599"
5703,"Bassins","VD","0.006235",453,"2020-08-13 03:34:37.981599"
5761,"Romainmôtier-Envy","VD","0.013453",210,"2020-08-13 03:34:37.981599"
4305,"Endingen","AG","0.001859",740,"2020-08-13 03:34:37.981599"
3111,"Oberegg","AI","0.006786",1242,"2020-08-13 03:34:37.981599"
194,"Greifensee","ZH","0.005939",854,"2020-08-13 03:34:37.981599"
762,"Diemtigen","BE","0.001428",2344,"2020-08-13 03:34:37.981599"
2517,"Derendingen","SO","0.008765",1444,"2020-08-13 03:34:37.981599"
574,"Brienzwiler","BE","0.005140",321,"2020-08-13 03:34:37.981599"
5410,"Ormont-Dessous","VD","0.006505",1349,"2020-08-13 03:34:37.981599"
2514,"Bolken","SO","0.002741",198,"2020-08-13 03:34:37.981599"
249,"Unterengstringen","ZH","0.006637",938,"2020-08-13 03:34:37.981599"
5661,"Boulens","VD","0.006953",128,"2020-08-13 03:34:37.981599"
2011,"Cugy (FR)","FR","0.007436",497,"2020-08-13 03:34:37.981599"
1402,"Engelberg","OW","0.004862",1773,"2020-08-13 03:34:37.981599"
4044,"Untersiggenthal","AG","0.002708",1640,"2020-08-13 03:34:37.981599"
6621,"Genève","GE","0.010475",8899,"2020-08-13 03:34:37.981599"
5633,"Echandens","VD","0.006941",614,"2020-08-13 03:34:37.981599"
5490,"Moiry","VD","0.014583",114,"2020-08-13 03:34:37.981599"
4921,"Bussnang","TG","0.003340",1391,"2020-08-13 03:34:37.981599"
941,"Thierachern","BE","0.004845",690,"2020-08-13 03:34:37.981599"
1331,"Küssnacht (SZ)","SZ","0.013485",2648,"2020-08-13 03:34:37.981599"
2841,"Anwil","BL","0.007432",280,"2020-08-13 03:34:37.981599"
5503,"Vufflens-la-Ville","VD","0.011879",382,"2020-08-13 03:34:37.981599"
4683,"Lengwil","TG","0.001785",940,"2020-08-13 03:34:37.981599"
5932,"Ursins","VD","0.017055",68,"2020-08-13 03:34:37.981599"
5236,"Collina d'Oro","TI","0.006580",1717,"2020-08-13 03:34:37.981599"
5138,"Cugnasco-Gerra","TI","0.004801",1960,"2020-08-13 03:34:37.981599"
5491,"Mont-la-Ville","VD","0.008723",206,"2020-08-13 03:34:37.981599"
3232,"Balgach","SG","0.025416",1345,"2020-08-13 03:34:37.981599"
4317,"Rümikon","AG","0.002354",100,"2020-08-13 03:34:37.981599"
872,"Kirchdorf (BE)","BE","0.006062",532,"2020-08-13 03:34:37.981599"
4141,"Reinach (AG)","AG","0.011512",2991,"2020-08-13 03:34:37.981599"
198,"Uster","ZH","0.007417",7271,"2020-08-13 03:34:37.981599"
3746,"Zernez","GR","0.004834",622,"2020-08-13 03:34:37.981599"
4545,"Diessenhofen","TG","0.002625",1458,"2020-08-13 03:34:37.981599"
5464,"Vully-les-Lacs","VD","0.010337",1524,"2020-08-13 03:34:37.981599"
3443,"Gossau (SG)","SG","0.004884",3015,"2020-08-13 03:34:37.981599"
411,"Kernenried","BE","0.006623",146,"2020-08-13 03:34:37.981599"
2135,"Gruyères","FR","0.009734",863,"2020-08-13 03:34:37.981599"
230,"Winterthur","ZH","0.004671",22048,"2020-08-13 03:34:37.981599"
979,"Herzogenbuchsee","BE","0.007871",1735,"2020-08-13 03:34:37.981599"
4172,"Münchwilen (AG)","AG","0.001738",498,"2020-08-13 03:34:37.981599"
4285,"Strengelbach","AG","0.006250",1142,"2020-08-13 03:34:37.981599"
2828,"Lausen","BL","0.005402",1897,"2020-08-13 03:34:37.981599"
4601,"Neunforn","TG","0.003726",781,"2020-08-13 03:34:37.981599"
154,"Küsnacht (ZH)","ZH","0.010093",4294,"2020-08-13 03:34:37.981599"
2479,"Rodersdorf","SO","0.003084",601,"2020-08-13 03:34:37.981599"
38,"Rheinau","ZH","0.014134",821,"2020-08-13 03:34:37.981599"
2620,"Meltingen","SO","0.004552",227,"2020-08-13 03:34:37.981599"
3954,"Malans","GR","0.032063",651,"2020-08-13 03:34:37.981599"
6140,"Saillon","VS","0.001456",853,"2020-08-13 03:34:37.981599"
1084,"Eich","LU","0.008874",426,"2020-08-13 03:34:37.981599"
3603,"Vals","GR","0.002641",396,"2020-08-13 03:34:37.981599"
4021,"Baden","AG","0.004087",4256,"2020-08-13 03:34:37.981599"
5853,"Bursins","VD","0.005972",200,"2020-08-13 03:34:37.981599"
4139,"Menziken","AG","0.003250",1503,"2020-08-13 03:34:37.981599"
5861,"Rolle","VD","0.010128",842,"2020-08-13 03:34:37.981599"
337,"Roggwil (BE)","BE","0.013612",1303,"2020-08-13 03:34:37.981599"
2422,"Balsthal","SO","0.024394",1607,"2020-08-13 03:34:37.981599"
3295,"Quarten","SG","0.004920",1391,"2020-08-13 03:34:37.981599"
607,"Freimettigen","BE","0.006373",98,"2020-08-13 03:34:37.981599"
57,"Freienstein-Teufen","ZH","0.005988",916,"2020-08-13 03:34:37.981599"
3033,"Lutzenberg","AR","0.001108",486,"2020-08-13 03:34:37.981599"
423,"Willadingen","BE","0.006193",83,"2020-08-13 03:34:37.981599"
2834,"Ziefen","BL","0.005893",848,"2020-08-13 03:34:37.981599"
5431,"Mollens (VD)","VD","0.013653",117,"2020-08-13 03:34:37.981599"
6031,"Bagnes","VS","0.002958",5141,"2020-08-13 03:34:37.981599"
614,"Linden","BE","0.008612",416,"2020-08-13 03:34:37.981599"
4095,"Brugg","AG","0.004813",3681,"2020-08-13 03:34:37.981599"
577,"Gsteigwiler","BE","0.004050",240,"2020-08-13 03:34:37.981599"
5408,"Noville","VD","0.009750",344,"2020-08-13 03:34:37.981599"
2173,"Autigny","FR","0.011930",210,"2020-08-13 03:34:37.981599"
3021,"Bühler","AR","0.004429",526,"2020-08-13 03:34:37.981599"
5017,"Sant'Antonino","TI","0.006669",931,"2020-08-13 03:34:37.981599"
2572,"Däniken","SO","0.004189",720,"2020-08-13 03:34:37.981599"
2153,"Sorens","FR","0.009930",338,"2020-08-13 03:34:37.981599"
701,"Perrefitte","BE","0.002189",182,"2020-08-13 03:34:37.981599"
5105,"Frasco","TI","0.005146",360,"2020-08-13 03:34:37.981599"
3103,"Rüte","AI","0.007686",1987,"2020-08-13 03:34:37.981599"
6177,"Grengiols","VS","0.000925",249,"2020-08-13 03:34:37.981599"
5144,"Arogno","TI","0.004529",604,"2020-08-13 03:34:37.981599"
2138,"Jaun","FR","0.007925",308,"2020-08-13 03:34:37.981599"
4137,"Leimbach (AG)","AG","0.002405",290,"2020-08-13 03:34:37.981599"
2321,"Attalens","FR","0.006573",899,"2020-08-13 03:34:37.981599"
2541,"Balm bei Günsberg","SO","0.004099",94,"2020-08-13 03:34:37.981599"
37,"Ossingen","ZH","0.002118",863,"2020-08-13 03:34:37.981599"
6057,"Fiesch","VS","0.002112",607,"2020-08-13 03:34:37.981599"
936,"Pohlern","BE","0.010839",80,"2020-08-13 03:34:37.981599"
5432,"Montherod","VD","0.009355",129,"2020-08-13 03:34:37.981599"
6453,"Enges","NE","0.004817",111,"2020-08-13 03:34:37.981599"
5651,"Villars-Sainte-Croix","VD","0.011558",246,"2020-08-13 03:34:37.981599"
4471,"Bischofszell","TG","0.014383",2323,"2020-08-13 03:34:37.981599"
6637,"Russin","GE","0.010336",169,"2020-08-13 03:34:37.981599"
3961,"Grüsch","GR","0.004884",1029,"2020-08-13 03:34:37.981599"
5254,"Mendrisio","TI","0.005036",5333,"2020-08-13 03:34:37.981599"
115,"Gossau (ZH)","ZH","0.004810",3859,"2020-08-13 03:34:37.981599"
6002,"Brig-Glis","VS","0.022739",1877,"2020-08-13 03:34:37.981599"
5930,"Suscévaz","VD","0.010328",76,"2020-08-13 03:34:37.981599"
2502,"Wisen (SO)","SO","0.005435",150,"2020-08-13 03:34:37.981599"
1205,"Bürglen (UR)","UR","0.001862",1768,"2020-08-13 03:34:37.981599"
358,"Stettlen","BE","0.002264",695,"2020-08-13 03:34:37.981599"
2953,"Siblingen","SH","0.001616",581,"2020-08-13 03:34:37.981599"
227,"Seuzach","ZH","0.003751",2479,"2020-08-13 03:34:37.981599"
2272,"Misery-Courtion","FR","0.009520",526,"2020-08-13 03:34:37.981599"
3025,"Trogen","AR","0.001540",1130,"2020-08-13 03:34:37.981599"
181,"Wila","ZH","0.011177",988,"2020-08-13 03:34:37.981599"
4122,"Villnachern","AG","0.006361",488,"2020-08-13 03:34:37.981599"
5493,"Orny","VD","0.008022",120,"2020-08-13 03:34:37.981599"
4546,"Schlatt (TG)","TG","0.001006",1171,"2020-08-13 03:34:37.981599"
1363,"Illgau","SZ","0.004181",198,"2020-08-13 03:34:37.981599"
6452,"Cressier (NE)","NE","0.005144",475,"2020-08-13 03:34:37.981599"
5935,"Villars-Epeney","VD","0.015154",28,"2020-08-13 03:34:37.981599"
982,"Niederönz","BE","0.004655",419,"2020-08-13 03:34:37.981599"
5557,"Fontaines-sur-Grandson","VD","0.019415",64,"2020-08-13 03:34:37.981599"
1008,"Schüpfheim","LU","0.005754",1141,"2020-08-13 03:34:37.981599"
4207,"Schafisheim","AG","0.005526",941,"2020-08-13 03:34:37.981599"
4094,"Bözen","AG","0.005755",245,"2020-08-13 03:34:37.981599"
4049,"Ehrendingen","AG","0.002005",1658,"2020-08-13 03:34:37.981599"
2582,"Rickenbach (SO)","SO","0.003149",296,"2020-08-13 03:34:37.981599"
985,"Ochlenberg","BE","0.003813",218,"2020-08-13 03:34:37.981599"
3832,"Grono","GR","0.002929",651,"2020-08-13 03:34:37.981599"
3255,"Rebstein","SG","0.005712",1261,"2020-08-13 03:34:37.981599"
216,"Dinhard","ZH","0.003753",836,"2020-08-13 03:34:37.981599"
3212,"Eggersriet","SG","0.004278",772,"2020-08-13 03:34:37.981599"
2891,"Niederdorf","BL","0.007907",724,"2020-08-13 03:34:37.981599"
2576,"Gretzenbach","SO","0.002489",781,"2020-08-13 03:34:37.981599"
4319,"Siglistorf","AG","0.002496",181,"2020-08-13 03:34:37.981599"
2160,"Vuadens","FR","0.007733",628,"2020-08-13 03:34:37.981599"
4076,"Sarmenstorf","AG","0.003570",836,"2020-08-13 03:34:37.981599"
4416,"Hefenhofen","TG","0.001422",753,"2020-08-13 03:34:37.981599"
1401,"Alpnach","OW","0.005395",1431,"2020-08-13 03:34:37.981599"
4110,"Remigen","AG","0.004601",361,"2020-08-13 03:34:37.981599"
4096,"Effingen","AG","0.002719",243,"2020-08-13 03:34:37.981599"
2843,"Buckten","BL","0.005519",354,"2020-08-13 03:34:37.981599"
4097,"Elfingen","AG","0.004856",115,"2020-08-13 03:34:37.981599"
421,"Rumendingen","BE","0.008124",43,"2020-08-13 03:34:37.981599"
6782,"Cornol","JU","0.002981",395,"2020-08-13 03:34:37.981599"
5533,"Poliez-Pittet","VD","0.011320",204,"2020-08-13 03:34:37.981599"
3734,"Trin","GR","0.003905",661,"2020-08-13 03:34:37.981599"
2271,"Meyriez","FR","0.004599",204,"2020-08-13 03:34:37.981599"
2621,"Nunningen","SO","0.002439",714,"2020-08-13 03:34:37.981599"
351,"Bern","BE","0.003721",15929,"2020-08-13 03:34:37.981599"
2220,"Le Mouret","FR","0.004544",1050,"2020-08-13 03:34:37.981599"
5414,"Villeneuve (VD)","VD","0.010124",1068,"2020-08-13 03:34:37.981599"
867,"Gurzelen","BE","0.010688",247,"2020-08-13 03:34:37.981599"
3714,"Rheinwald","GR","0.003517",407,"2020-08-13 03:34:37.981599"
251,"Weiningen (ZH)","ZH","0.011488",1197,"2020-08-13 03:34:37.981599"
2518,"Etziken","SO","0.009494",285,"2020-08-13 03:34:37.981599"
1217,"Sisikon","UR","0.003345",122,"2020-08-13 03:34:37.981599"
4196,"Fahrwangen","AG","0.001910",905,"2020-08-13 03:34:37.981599"
1369,"Riemenstalden","SZ","0.002327",41,"2020-08-13 03:34:37.981599"
4161,"Eiken","AG","0.001908",671,"2020-08-13 03:34:37.981599"
5648,"Saint-Sulpice (VD)","VD","0.010059",727,"2020-08-13 03:34:37.981599"
1216,"Silenen","UR","0.002546",797,"2020-08-13 03:34:37.981599"
1007,"Romoos","LU","0.003874",253,"2020-08-13 03:34:37.981599"
4254,"Möhlin","AG","0.004988",2528,"2020-08-13 03:34:37.981599"
709,"Seehof","BE","0.001608",28,"2020-08-13 03:34:37.981599"
2421,"Aedermannsdorf","SO","0.002844",200,"2020-08-13 03:34:37.981599"
977,"Heimenhausen","BE","0.004256",369,"2020-08-13 03:34:37.981599"
1301,"Einsiedeln","SZ","0.015821",4026,"2020-08-13 03:34:37.981599"
2887,"Lampenberg","BL","0.005284",354,"2020-08-13 03:34:37.981599"
1347,"Tuggen","SZ","0.020038",763,"2020-08-13 03:34:37.981599"
5167,"Canobbio","TI","0.005167",522,"2020-08-13 03:34:37.981599"
5435,"Saint-Livres","VD","0.012885",209,"2020-08-13 03:34:37.981599"
3394,"Mosnang","SG","0.007132",987,"2020-08-13 03:34:37.981599"
992,"Wangen an der Aare","BE","0.005819",637,"2020-08-13 03:34:37.981599"
1055,"Gisikon","LU","0.002767",287,"2020-08-13 03:34:37.981599"
220,"Hagenbuch","ZH","0.001663",633,"2020-08-13 03:34:37.981599"
4079,"Unterlunkhofen","AG","0.004049",364,"2020-08-13 03:34:37.981599"
3395,"Bütschwil-Ganterschwil","SG","0.003494",1486,"2020-08-13 03:34:37.981599"
4193,"Brunegg","AG","0.002261",311,"2020-08-13 03:34:37.981599"
3861,"Fideris","GR","0.006660",466,"2020-08-13 03:34:37.981599"
218,"Ellikon an der Thur","ZH","0.001574",494,"2020-08-13 03:34:37.981599"
3752,"Samnaun","GR","0.003073",430,"2020-08-13 03:34:37.981599"
2265,"Kerzers","FR","0.005545",1021,"2020-08-13 03:34:37.981599"
972,"Berken","BE","0.003441",19,"2020-08-13 03:34:37.981599"
3810,"Santa Maria in Calanca","GR","0.000850",206,"2020-08-13 03:34:37.981599"
1361,"Alpthal","SZ","0.002796",301,"2020-08-13 03:34:37.981599"
2304,"St. Ursen","FR","0.004026",434,"2020-08-13 03:34:37.981599"
3392,"Kirchberg (SG)","SG","0.032963",2316,"2020-08-13 03:34:37.981599"
3423,"Niederhelfenschwil","SG","0.002855",1567,"2020-08-13 03:34:37.981599"
4591,"Matzingen","TG","0.011806",1229,"2020-08-13 03:34:37.981599"
2284,"Mont-Vully","FR","0.006585",1536,"2020-08-13 03:34:37.981599"
326,"Gondiswil","BE","0.004795",247,"2020-08-13 03:34:37.981599"
5061,"Airolo","TI","0.002327",1556,"2020-08-13 03:34:37.981599"
12,"Rifferswil","ZH","0.000981",654,"2020-08-13 03:34:37.981599"
944,"Uetendorf","BE","0.016767",1643,"2020-08-13 03:34:37.981599"
6090,"Mont-Noble","VS","0.004397",1267,"2020-08-13 03:34:37.981599"
4286,"Uerkheim","AG","0.002502",464,"2020-08-13 03:34:37.981599"
2852,"Läufelfingen","BL","0.006608",775,"2020-08-13 03:34:37.981599"
5921,"Molondin","VD","0.011136",107,"2020-08-13 03:34:37.981599"
5160,"Brusino Arsizio","TI","0.004189",413,"2020-08-13 03:34:37.981599"
338,"Rohrbach","BE","0.005431",474,"2020-08-13 03:34:37.981599"
1348,"Vorderthal","SZ","0.009735",380,"2020-08-13 03:34:37.981599"
6783,"Courchavon","JU","0.006015",159,"2020-08-13 03:34:37.981599"
1209,"Gurtnellen","UR","0.000506",455,"2020-08-13 03:34:37.981599"
4314,"Mellikon","AG","0.001474",103,"2020-08-13 03:34:37.981599"
2111,"Villaz-Saint-Pierre","FR","0.000000",4,"2020-08-13 03:34:37.981599"
2477,"Metzerlen-Mariastein","SO","0.003351",377,"2020-08-13 03:34:37.981599"
5412,"Rennaz","VD","0.013908",169,"2020-08-13 03:34:37.981599"
5857,"Gilly","VD","0.011278",362,"2020-08-13 03:34:37.981599"
3405,"Jonschwil","SG","0.002661",1115,"2020-08-13 03:34:37.981599"
5819,"Henniez","VD","0.014329",103,"2020-08-13 03:34:37.981599"
6007,"Naters","VS","0.014220",3086,"2020-08-13 03:34:37.981599"
908,"Trub","BE","0.006069",505,"2020-08-13 03:34:37.981599"
1054,"Ebikon","LU","0.005827",2116,"2020-08-13 03:34:37.981599"
1373,"Steinen","SZ","0.010225",720,"2020-08-13 03:34:37.981599"
3252,"Eichberg","SG","0.002585",517,"2020-08-13 03:34:37.981599"
151,"Erlenbach (ZH)","ZH","0.012374",1692,"2020-08-13 03:34:37.981599"
2121,"Haut-Intyamon","FR","0.008352",687,"2020-08-13 03:34:37.981599"
6181,"Riederalp","VS","0.001445",654,"2020-08-13 03:34:37.981599"
2901,"Gächlingen","SH","0.001508",583,"2020-08-13 03:34:37.981599"
4071,"Jonen","AG","0.002840",609,"2020-08-13 03:34:37.981599"
100,"Stadel","ZH","0.001734",1027,"2020-08-13 03:34:37.981599"
2226,"Treyvaux","FR","0.012715",454,"2020-08-13 03:34:37.981599"
120,"Wald (ZH)","ZH","0.001739",3537,"2020-08-13 03:34:37.981599"
5592,"Romanel-sur-Lausanne","VD","0.010580",422,"2020-08-13 03:34:37.981599"
4304,"Döttingen","AG","0.002955",877,"2020-08-13 03:34:37.981599"
5639,"Lully (VD)","VD","0.007867",247,"2020-08-13 03:34:37.981599"
6751,"Montfaucon","JU","0.002998",292,"2020-08-13 03:34:37.981599"
5905,"Champvent","VD","0.011103",177,"2020-08-13 03:34:37.981599"
2309,"Wünnewil-Flamatt","FR","0.005249",1217,"2020-08-13 03:34:37.981599"
1202,"Andermatt","UR","0.005949",429,"2020-08-13 03:34:37.981599"
6793,"Lugnez","JU","0.004394",89,"2020-08-13 03:34:37.981599"
8,"Maschwanden","ZH","0.008016",353,"2020-08-13 03:34:37.981599"
2299,"Plaffeien","FR","0.003696",1574,"2020-08-13 03:34:37.981599"
4666,"Kemmental","TG","0.017738",1773,"2020-08-13 03:34:37.981599"
